gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1703257322	7adf20e0-c955-11de-95c0-b8a03c50a862	http://data.rbge.org.uk/living/20171504	Plantae	Bryophyta	Bryopsida	Bryales	Bryaceae	Bryum	Bryum rubens		SPECIES	Bryum rubens Mitten, 1856			98e934b0-5f31-11de-b67e-b8a03c50a862													2676553	2676553	LIVING_SPECIMEN	E	E	20171504			CC_BY_NC_4_0					2018-02-02T22:43Z		
1703257320	7adf20e0-c955-11de-95c0-b8a03c50a862	http://data.rbge.org.uk/living/20171506	Plantae	Bryophyta	Bryopsida	Pottiales	Encalyptaceae	Encalypta	Encalypta streptocarpa		SPECIES	Encalypta streptocarpa Hedwig, 1801			98e934b0-5f31-11de-b67e-b8a03c50a862													5280149	5280149	LIVING_SPECIMEN	E	E	20171506			CC_BY_NC_4_0					2018-02-02T22:43Z		
1703257317	7adf20e0-c955-11de-95c0-b8a03c50a862	http://data.rbge.org.uk/living/20171507	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Funaria	Funaria hygrometrica		SPECIES	Funaria hygrometrica Hedwig, 1801			98e934b0-5f31-11de-b67e-b8a03c50a862													5281229	5281229	LIVING_SPECIMEN	E	E	20171507			CC_BY_NC_4_0					2018-02-02T22:43Z		
1703257313	7adf20e0-c955-11de-95c0-b8a03c50a862	http://data.rbge.org.uk/living/20171509	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	Tortula	Tortula muralis		SPECIES	Tortula muralis Hedwig, 1801			98e934b0-5f31-11de-b67e-b8a03c50a862													5280562	5280562	LIVING_SPECIMEN	E	E	20171509			CC_BY_NC_4_0					2018-02-02T22:43Z		
1703257312	7adf20e0-c955-11de-95c0-b8a03c50a862	http://data.rbge.org.uk/living/20171513	Plantae	Bryophyta	Bryopsida	Hypnales	Thuidiaceae	Thuidium	Thuidium tamariscinum		SPECIES	Thuidium tamariscinum W.P.Schimper, 1852			98e934b0-5f31-11de-b67e-b8a03c50a862													2679436	2679436	LIVING_SPECIMEN	E	E	20171513			CC_BY_NC_4_0					2018-02-02T22:43Z		
1703257306	7adf20e0-c955-11de-95c0-b8a03c50a862	http://data.rbge.org.uk/living/20171516	Plantae	Bryophyta	Bryopsida	Hypnales	Hypnaceae	Vesicularia	Vesicularia reticulata		SPECIES	Vesicularia reticulata Brotherus, 1908			98e934b0-5f31-11de-b67e-b8a03c50a862													5283729	5283729	LIVING_SPECIMEN	E	E	20171516			CC_BY_NC_4_0					2018-02-02T22:43Z		
1703257303	7adf20e0-c955-11de-95c0-b8a03c50a862	http://data.rbge.org.uk/living/20171514	Plantae	Bryophyta	Bryopsida	Bryales	Mniaceae	Plagiomnium	Plagiomnium undulatum		SPECIES	Plagiomnium undulatum T.Koponen, 1968			98e934b0-5f31-11de-b67e-b8a03c50a862													2677622	2677622	LIVING_SPECIMEN	E	E	20171514			CC_BY_NC_4_0					2018-02-02T22:43Z		
1703257301	7adf20e0-c955-11de-95c0-b8a03c50a862	http://data.rbge.org.uk/living/20171511	Plantae	Bryophyta	Bryopsida	Bryales	Aulacomniaceae	Aulacomnium	Aulacomnium palustre		SPECIES	Aulacomnium palustre Schwaegrichen, 1827			98e934b0-5f31-11de-b67e-b8a03c50a862													2675979	2675979	LIVING_SPECIMEN	E	E	20171511			CC_BY_NC_4_0					2018-02-02T22:43Z		
1703257300	7adf20e0-c955-11de-95c0-b8a03c50a862	http://data.rbge.org.uk/living/20171508	Plantae	Bryophyta	Bryopsida	Bryales	Bryaceae	Leptobryum	Leptobryum pyriforme		SPECIES	Leptobryum pyriforme Wilson, 1855			98e934b0-5f31-11de-b67e-b8a03c50a862													2677444	2677444	LIVING_SPECIMEN	E	E	20171508			CC_BY_NC_4_0					2018-02-02T22:43Z		
1703257299	7adf20e0-c955-11de-95c0-b8a03c50a862	http://data.rbge.org.uk/living/20171502	Plantae	Bryophyta	Bryopsida	Hypnales	Amblystegiaceae	Amblystegium	Amblystegium serpens		SPECIES	Amblystegium serpens W.P.Schimper, 1853			98e934b0-5f31-11de-b67e-b8a03c50a862													7797019	7797019	LIVING_SPECIMEN	E	E	20171502			CC_BY_NC_4_0					2018-02-02T22:43Z		
