gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
890155790	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNjIvMzUvNjAvUGhvdG9fNTI0NTQ0MmQ3NjE4MS5qcGc=	http://data.rbge.org.uk/living/19623560	19623560	Image of living collection specimen with accession number 19623560 by RBGE Staff		RBGE Staff		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
890155631	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNzUvMjQvNTgvUGhvdG9fNTI0NTQyOTgwNTI0ZC5qcGc=	http://data.rbge.org.uk/living/19752458	19752458	Image of living collection specimen with accession number 19752458 by RBGE Staff		RBGE Staff		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
890155484	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNjgvMjEvNDUvUGhvdG9fNTI0NTQ0NGNiMTFlNS5qcGc=	http://data.rbge.org.uk/living/19682145	19682145	Image of living collection specimen with accession number 19682145 by RBGE Staff		RBGE Staff		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
890155460	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNzIvMjMvNzUvUGhvdG9fNTI0NTQzYTRkMzU3Yi5qcGc=	http://data.rbge.org.uk/living/19722375	19722375	Image of living collection specimen with accession number 19722375 by RBGE Staff		RBGE Staff		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
890155440	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNjUvMTUvNzYvUGhvdG9fNTI0NTRjNzRlZmM4OS5qcGc=	http://data.rbge.org.uk/living/19651576	19651576	Image of living collection specimen with accession number 19651576 by RBGE Staff		RBGE Staff		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
890155362	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNzAvMTcvNjgvUGhvdG9fNTI0NTQ0ZDc2ZTE0Mi5qcGc=	http://data.rbge.org.uk/living/19701768	19701768	Image of living collection specimen with accession number 19701768 by RBGE Staff		RBGE Staff		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
890155331	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNjgvMjUvOTMvUGhvdG9fNTI0NTQxYTQ3ZDY5OC5qcGc=	http://data.rbge.org.uk/living/19682593	19682593	Image of living collection specimen with accession number 19682593 by RBGE Staff		RBGE Staff		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
890155104	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNzIvMTUvNDgvUGhvdG9fNTI0NTQ0N2MzMTEwMy5qcGc=	http://data.rbge.org.uk/living/19721548	19721548	Image of living collection specimen with accession number 19721548 by RBGE Staff		RBGE Staff		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
890155054	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNTgvMzMvNzgvUGhvdG9fNTI0NTQyMjFhMWExMi5qcGc=	http://data.rbge.org.uk/living/19583378	19583378	Image of living collection specimen with accession number 19583378 by RBGE Staff		RBGE Staff		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
890154863	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMjAvMTMvMjEvMTkvUGhvdG9fNTJiMTg4OTNhMGZlMS5qcGc=	http://data.rbge.org.uk/living/20132119	20132119	Image of living collection specimen with accession number 20132119 by Fiona Inches		Fiona Inches		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
