gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1703257411																										http://data.rbge.org.uk/living/20171613																												PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/20171613	20171613						not recorded							dead																											from a cultivated plant of known (indirect) wild origin																																							degrees minutes seconds																																													Cypripedium tibeticum King ex Rolfe (Red leaf)												Orchidaceae	Cypripedium		tibeticum						ICBN			
1703257410																										http://data.rbge.org.uk/living/20171614																												PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/20171614	20171614						not recorded							dead																											from a cultivated plant of known (indirect) wild origin																																							degrees minutes seconds																																													Cypripedium micranthum Franch.												Orchidaceae	Cypripedium		micranthum						ICBN			
1703257409																										http://data.rbge.org.uk/living/20171615																												PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/20171615	20171615						not recorded							dead																											from a cultivated plant of known (indirect) wild origin																																							degrees minutes seconds																																													Cypripedium fargesii Franch.												Orchidaceae	Cypripedium		fargesii						ICBN			
1703257391																										http://data.rbge.org.uk/living/20171612																												PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/20171612	20171612						not recorded							dead																											from a cultivated plant of known (indirect) wild origin																																							degrees minutes seconds																																													Cypripedium cordigerum D.Don												Orchidaceae	Cypripedium		cordigerum						ICBN			
1677435096																										http://data.rbge.org.uk/living/20171380													2017-10-02 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/20171380	20171380						not recorded							alive																																																																		degrees minutes seconds																																													Stanhopea ruckeri Lindl.												Orchidaceae	Stanhopea		ruckeri						ICBN			
1677435091																										http://data.rbge.org.uk/living/20171386													2017-10-17 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/20171386	20171386						not recorded							alive						19716154*A Stanhopea hernadezii superba but ident as S. occulta but a good plant woth keepting so re-accessed. - FBI																					from a cultivated plant of known (indirect) wild origin																																							degrees minutes seconds																																													Stanhopea oculata (Lodd.) Lindl.												Orchidaceae	Stanhopea		oculata						ICBN			
1677435051																										http://data.rbge.org.uk/living/20042137													2017-10-02 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/20042137	20042137	2092	DeVogel; Bandisch; Vogel; Gravendeel				not recorded							alive																											collected directly from the wild													PG					Minj		2000	2000	2000 M																	degrees minutes seconds																																													Dendrobium chamaephytum Schltr.												Orchidaceae	Dendrobium		chamaephytum						ICBN			
1677435049																										http://data.rbge.org.uk/living/19351041													2017-10-09 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/19351041	19351041						not recorded							alive																											insufficient information to determine wild or cultivated origin																																							degrees minutes seconds																																													Myoxanthus punctatus (Barb.Rodr.) Luer												Orchidaceae	Myoxanthus		punctatus						ICBN			
1563113174																										http://data.rbge.org.uk/living/19701174																												PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/19701174	19701174						not recorded							dead																											from a cultivated plant of known (indirect) wild origin																																							degrees minutes seconds																																													Epidendrum melinanthum Schltr.												Orchidaceae	Epidendrum		melinanthum						ICBN			
1563113161																										http://data.rbge.org.uk/living/19701178																												PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/19701178	19701178						not recorded							dead																											from a cultivated plant of known (indirect) wild origin																																							degrees minutes seconds																																													Masdevallia aff. civilis Rchb.f.												Orchidaceae	Masdevallia		civilis						ICBN			
