"gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue",,,,,,,,,
"1586990998	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	http://data.rbge.org.uk/herb/E00816699	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia furcata	furcata	VARIETY	Cladonia furcata var. furcata	GB		98e934b0-5f31-11de-b67e-b8a03c50a862													6337359	7246646	PRESERVED_SPECIMEN	E	E	E00816699	3008		CC_BY_NC_4_0		Fryday"," Alan Michael			2018-02-03T21:04Z		",,,,,,,,
"1586989500	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	http://data.rbge.org.uk/herb/E00816708	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia			GENUS	Cladonia P.Browne	GB		98e934b0-5f31-11de-b67e-b8a03c50a862									1993-06-21T02:00Z	21	6	1993	2607519		PRESERVED_SPECIMEN	E	E	E00816708	4402		CC_BY_NC_4_0		Fryday"," Alan Michael			2018-02-03T21:04Z		",,,,,,,,
"1563458280	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	http://data.rbge.org.uk/herb/E00816234	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia strepsilis		SPECIES	Cladonia strepsilis (Ach.) Grognot	GB		98e934b0-5f31-11de-b67e-b8a03c50a862													7903868	7246887	PRESERVED_SPECIMEN	E	E	E00816234			CC_BY_NC_4_0		Fryday"," Alan Michael			2018-02-04T15:20Z		RECORDED_DATE_INVALID",,,,,,,,
"1563457941	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	http://data.rbge.org.uk/herb/E00786226	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia bellidiflora		SPECIES	Cladonia bellidiflora (Ach.) Schaer.	GB		98e934b0-5f31-11de-b67e-b8a03c50a862													2607724	2607724	PRESERVED_SPECIMEN	E	E	E00786226			CC_BY_NC_4_0		Fryday"," Alan Michael			2018-02-04T15:20Z		RECORDED_DATE_INVALID",,,,,,,,
"1563457811	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	http://data.rbge.org.uk/herb/E00816179	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia cariosa		SPECIES	Cladonia cariosa (Ach.) Spreng.	CA		98e934b0-5f31-11de-b67e-b8a03c50a862	48.061111	-71.247222							1981-08-11T02:00Z	11	8	1981	2607655	2607655	PRESERVED_SPECIMEN	E	E	E00816179	890		CC_BY_NC_4_0		Ayotte"," Gilles			2018-02-04T15:20Z		",,,,,,,,
"1563118018	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	http://data.rbge.org.uk/herb/E00816157	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia amaurocraea		SPECIES	Cladonia amaurocraea (Flörke) Schaer.	CA		98e934b0-5f31-11de-b67e-b8a03c50a862	58.691667	-65.952778							1984-07-18T02:00Z	18	7	1984	7246667	7246667	PRESERVED_SPECIMEN	E	E	E00816157	094		CC_BY_NC_4_0		Pelletier"," Yvon			2018-02-03T12:58Z		PRESUMED_NEGATED_LONGITUDE",,,,,,,,
"1563118009	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	http://data.rbge.org.uk/herb/E00816158	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia amaurocraea		SPECIES	Cladonia amaurocraea (Flörke) Schaer.	CA		98e934b0-5f31-11de-b67e-b8a03c50a862	58.691667	-65.952778							1984-07-19T02:00Z	19	7	1984	7246667	7246667	PRESERVED_SPECIMEN	E	E	E00816158	111		CC_BY_NC_4_0		Pelletier"," Yvon			2018-02-03T12:58Z		PRESUMED_NEGATED_LONGITUDE",,,,,,,,
"1563117437	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	http://data.rbge.org.uk/herb/E00816159	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia amaurocraea		SPECIES	Cladonia amaurocraea (Flörke) Schaer.	CA		98e934b0-5f31-11de-b67e-b8a03c50a862	58.691667	-65.952778							1984-07-18T02:00Z	18	7	1984	7246667	7246667	PRESERVED_SPECIMEN	E	E	E00816159	067		CC_BY_NC_4_0		Pelletier"," Yvon			2018-02-03T12:58Z		PRESUMED_NEGATED_LONGITUDE",,,,,,,,
"1563117010	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	http://data.rbge.org.uk/herb/E00816152	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia pleurota		SPECIES	Cladonia pleurota (Flörke) Schaer.	CA		98e934b0-5f31-11de-b67e-b8a03c50a862	50.2875	-63.8375			15.0	0.0			1996-07-21T02:00Z	21	7	1996	2607718	2607718	PRESERVED_SPECIMEN	E	E	E00816152	96-3879-C		CC_BY_NC_4_0		Roy"," Claude			2018-02-03T12:58Z		PRESUMED_NEGATED_LONGITUDE",,,,,,,,
"1563116862	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	http://data.rbge.org.uk/herb/E00816120	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia crispata	crispata	VARIETY	Cladonia crispata var. crispata	CA		98e934b0-5f31-11de-b67e-b8a03c50a862	50.266667	-63.543056			23.0	0.0			1996-07-20T02:00Z	20	7	1996	7186986	6606832	PRESERVED_SPECIMEN	E	E	E00816120	96-3867-C		CC_BY_NC_4_0		Roy"," Claude			2018-02-03T12:58Z		PRESUMED_NEGATED_LONGITUDE",,,,,,,,
"1563116757	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	http://data.rbge.org.uk/herb/E00816145	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia macrophylla		SPECIES	Cladonia macrophylla (Schaer.) Stenh.	CA		98e934b0-5f31-11de-b67e-b8a03c50a862	47.708333	-70.609722			860.0	0.0			1989-09-12T02:00Z	12	9	1989	2607629	2607629	PRESERVED_SPECIMEN	E	E	E00816145	89-1496-C		CC_BY_NC_4_0		Roy"," Claude			2018-02-03T12:58Z		PRESUMED_NEGATED_LONGITUDE",,,,,,,,
"1563116685	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	http://data.rbge.org.uk/herb/E00816137	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia amaurocraea		SPECIES	Cladonia amaurocraea (Flörke) Schaer.	CA		98e934b0-5f31-11de-b67e-b8a03c50a862	50.2625	-63.545833			23.0	0.0			1996-07-20T02:00Z	20	7	1996	7246667	7246667	PRESERVED_SPECIMEN	E	E	E00816137	96-3855-C		CC_BY_NC_4_0		Roy"," Claude			2018-02-03T12:58Z		PRESUMED_NEGATED_LONGITUDE",,,,,,,,
"1563116209	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	http://data.rbge.org.uk/herb/E00816144	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia deformis		SPECIES	Cladonia deformis (L.) Hoffm.	CA		98e934b0-5f31-11de-b67e-b8a03c50a862	50.277778	-65.534722			110.0	0.0			1996-07-24T02:00Z	24	7	1996	9075436	9075436	PRESERVED_SPECIMEN	E	E	E00816144	96-3912-C		CC_BY_NC_4_0		Roy"," Claude			2018-02-03T12:58Z		PRESUMED_NEGATED_LONGITUDE",,,,,,,,
"1563116122	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	http://data.rbge.org.uk/herb/E00816177	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia gracilis	turbinata	SUBSPECIES	Cladonia gracilis subsp. turbinata (Ach.) Ahti	CA	Parc des Laurentides	98e934b0-5f31-11de-b67e-b8a03c50a862	48.061111	-71.247222			2650.0	0.0			1981-08-11T02:00Z	11	8	1981	2607597	2607596	PRESERVED_SPECIMEN	E	E	E00816177	889		CC_BY_NC_4_0		Ayotte"," Gilles			2018-02-03T12:58Z		",,,,,,,,
"1563115866	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	http://data.rbge.org.uk/herb/E00816142	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia boryi		SPECIES	Cladonia boryi Tuck.	CA		98e934b0-5f31-11de-b67e-b8a03c50a862	50.2875	-63.8375			15.0	0.0			1996-07-21T02:00Z	21	7	1996	7246785	7246785	PRESERVED_SPECIMEN	E	E	E00816142	96-3880-C		CC_BY_NC_4_0		Roy"," Claude			2018-02-03T12:58Z		PRESUMED_NEGATED_LONGITUDE",,,,,,,,
"1563115783	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	http://data.rbge.org.uk/herb/E00816072	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia cariosa		SPECIES	Cladonia cariosa (Ach.) Spreng.	GB	Bagmoor	98e934b0-5f31-11de-b67e-b8a03c50a862									1999-08-15T02:00Z	15	8	1999	2607655	2607655	PRESERVED_SPECIMEN	E	E	E00816072			CC_BY_NC_4_0		Seaward"," M.R.D.			2018-02-03T12:58Z		",,,,,,,,
