name,parent
Plantae,
Tracheophyta,Plantae
Bryophyta,Plantae
Marchantiophyta,Plantae
Magnoliopsida,Tracheophyta
Liliopsida,Tracheophyta
Sphagnopsida,Bryophyta
Jungermanniopsida,Marchantiophyta
Bryopsida,Bryophyta
Polypodiopsida,Tracheophyta
Saxifragales,Magnoliopsida
Ranunculales,Magnoliopsida
Ericales,Magnoliopsida
Alismatales,Liliopsida
Poales,Liliopsida
Lamiales,Magnoliopsida
Oxalidales,Magnoliopsida
Gentianales,Magnoliopsida
Caryophyllales,Magnoliopsida
Asparagales,Liliopsida
Sphagnales,Sphagnopsida
Fabales,Magnoliopsida
Sapindales,Magnoliopsida
Rosales,Magnoliopsida
Jungermanniales,Jungermanniopsida
Polytrichales,Bryopsida
Polypodiales,Polypodiopsida
Apiales,Magnoliopsida
Malpighiales,Magnoliopsida
Myrtales,Magnoliopsida
Laurales,Magnoliopsida
Aquifoliales,Magnoliopsida
Piperales,Magnoliopsida
Malvales,Magnoliopsida
Asterales,Magnoliopsida
Fagales,Magnoliopsida
Saxifragaceae,Saxifragales
Ranunculaceae,Ranunculales
Primulaceae,Ericales
Tofieldiaceae,Alismatales
Poaceae,Poales
Lamiaceae,Lamiales
Elaeocarpaceae,Oxalidales
Gentianaceae,Gentianales
Caryophyllaceae,Caryophyllales
Orchidaceae,Asparagales
Sphagnaceae,Sphagnales
Fabaceae,Fabales
Sapindaceae,Sapindales
Ericaceae,Ericales
Moraceae,Rosales
Scapaniaceae,Jungermanniales
Sapotaceae,Ericales
Polytrichaceae,Polytrichales
Apocynaceae,Gentianales
Aspleniaceae,Polypodiales
Apiaceae,Apiales
Salicaceae,Malpighiales
Loganiaceae,Gentianales
Melastomataceae,Myrtales
Myrtaceae,Myrtales
Pentaphylacaceae,Ericales
Lauraceae,Laurales
Aquifoliaceae,Aquifoliales
Euphorbiaceae,Malpighiales
Pteridaceae,Polypodiales
Piperaceae,Piperales
Araliaceae,Apiales
Meliaceae,Sapindales
Cephaloziaceae,Jungermanniales
Dipterocarpaceae,Malvales
Asteraceae,Asterales
Fagaceae,Fagales
Micranthes,Saxifragaceae
Caltha,Ranunculaceae
Anemone,Ranunculaceae
Saxifraga,Saxifragaceae
Helleborus,Ranunculaceae
Primula,Primulaceae
Tofieldia,Tofieldiaceae
Clematis,Ranunculaceae
Themeda,Poaceae
Anisomeles,Lamiaceae
Elaeocarpus,Elaeocarpaceae
Gentianella,Gentianaceae
Stellaria,Caryophyllaceae
Ophrys,Orchidaceae
Sphagnum,Sphagnaceae
Astragalus,Fabaceae
Cupaniopsis,Sapindaceae
Conandrium,Primulaceae
Scleranthus,Caryophyllaceae
Lotus,Fabaceae
Hypopitys,Ericaceae
Parartocarpus,Moraceae
