gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,countrycode,locality,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
1228049310,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740250,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes engleri,engleri,SUBSPECIES,Saxifraga stellaris subsp. engleri (Dalla Torre) P.Fourn.,GB,foot of Ben Lawers,98e934b0-5f31-11de-b67e-b8a03c50a862,56.545,-4.222222,,,,,,,1829-06-25T01:00Z,25,6,1829,8425059,5567705,PRESERVED_SPECIMEN,E,E,E00740250,,,CC_BY_NC_4_0,,,,,2017-10-06T15:43Z,,GEODETIC_DATUM_ASSUMED_WGS84
1228048599,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740292,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,Helvellyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228047889,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740335,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes engleri,engleri,SUBSPECIES,Saxifraga stellaris subsp. engleri (Dalla Torre) P.Fourn.,GB,Glen Dole,98e934b0-5f31-11de-b67e-b8a03c50a862,56.874167,-3.2225,,,,,,,1840-08-05T01:00Z,5,8,1840,8425059,5567705,PRESERVED_SPECIMEN,E,E,E00740335,,,CC_BY_NC_4_0,,,,,2017-10-06T15:43Z,,GEODETIC_DATUM_ASSUMED_WGS84
1228047386,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740202,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,stream in Glen Cairn [carim?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228047338,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740216,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,,SPECIES,Saxifraga stellaris L.,GB,Ben Lawers,98e934b0-5f31-11de-b67e-b8a03c50a862,56.545,-4.220278,,,,,,,1875-07-16T01:00Z,16,7,1875,3032808,5567578,PRESERVED_SPECIMEN,E,E,E00740216,,,CC_BY_NC_4_0,,Johnston,,,,,
1228047190,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740214,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,west of Killin Station,98e934b0-5f31-11de-b67e-b8a03c50a862,56.468889,-4.320833,,,,,,,1870-08-06T01:00Z,6,8,1870,7339184,5567578,PRESERVED_SPECIMEN,E,E,E00740214,,,CC_BY_NC_4_0,,Craig-Christie,,,,,
1228047184,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740215,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,Ben Lawers,98e934b0-5f31-11de-b67e-b8a03c50a862,56.545,-4.220278,,,,,,,1878-07-19T01:00Z,19,7,1878,7339184,5567578,PRESERVED_SPECIMEN,E,E,E00740215,,,CC_BY_NC_4_0,,Johnston,,,,,
1228047069,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740244,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes engleri,engleri,SUBSPECIES,Saxifraga stellaris subsp. engleri (Dalla Torre) P.Fourn.,GB,Ben Voirlich,98e934b0-5f31-11de-b67e-b8a03c50a862,56.341667,-4.221944,,,,,,,1864-08-10T01:00Z,10,8,1864,8425059,5567705,PRESERVED_SPECIMEN,E,E,E00740244,,,CC_BY_NC_4_0,,Fraser,,,,,
1228046754,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740266,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes engleri,engleri,SUBSPECIES,Saxifraga stellaris subsp. engleri (Dalla Torre) P.Fourn.,GB,Ben Lawers,98e934b0-5f31-11de-b67e-b8a03c50a862,56.545,-4.222222,,,,,,,1868-07-24T01:00Z,24,7,1868,8425059,5567705,PRESERVED_SPECIMEN,E,E,E00740266,,,CC_BY_NC_4_0,,,,,2017-10-06T15:43Z,,GEODETIC_DATUM_ASSUMED_WGS84
1228046161,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740294,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,200 yards from the junction of Yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
